,,KUNG,,,,,
"Mats ",sə́ghâm,ǹsě,úsɛ̂,ǹsê,,sə́ghâm,ǹsě
,,,,,,,
"Bed ",úkiɔ̌,útʉ́ɔ,tsiʉ̌,útsû,úkiû,utswɔ̌,útwúɔ̀
"Beds ","no response","no response",tiʉ̌sə̀,sə́twû,kiǔwə̀,"sə́tswɔ̀ ̀ɔ̀",ńtwúɔ
,,,,,,,
,,,,,,,
"Box ",tɨ́tâ,kə́tɨ́taî,kə́tɨ́taî,kétaitâi,tə́taì,kə́tsɨ́tai,kə́tɨ́tái
"Boxes ",útátái,útátái,tɨ́táisə́,útaitâi,tɨ́táiwɔ́,útsə́tai,útátái
,,,,,,,
Cloth,tsə̀ndzɨ̂,tsə̀ndzɨ̌,ndzʉ́s,sə̀ndzʉ̂,tsə̀ndzʉ́s,sə̀ndzɨ̌,sə̀ndzɨ̌
clothes,sə́ndzə̂,sə́ndzə̂,sə̀ndʉ̀,sə̀ndzɨ̌,sə̀ndzʉ́s,sə̀ndzə̌s,sə́ndzə̂
,,,,,,,
,,,,,,,
"Wooden spoon",tàsə̀fɨ́kàkə̀,ɔ̀kɨ́sɔ̀mə̀,"no response","No response",sɔ̂mə̀kə̀,"No response",kə́sɔ̌mə̀
"Wooden spoons ","no response","no response",,,sɔ̂mə̀wɔ̀,,úsɔ̌mə̀
,,,,,,,
,,,,,,,
"Knife ",fə̀nyì,fə́nyə̂,fə̀nyî,fə́nyí,fə̀nyî,fə́nyə̂,fə́nyə̂
"Knifes ",m̀nyə̂,m̀nyə̂,nyə̌fə́,fə́nyə̂,nyɛ́mə́,m̀nyə̂,"m̀nyə̂ "
,,,,,,,
,,,,,,,
Cutlass,ífə̌,fɛ̂,fɛ̌,ʉ́fɛ̌,"No response",ífɛ̌,ífɛ̌
"Cutlasses ",sə́fɛ̂,sə́fɛ̂,sə́fɛ̂,sə́fɛ̌,,sə́fɛ̂,sə́fɛ̂
,,,,,,,
"Chair ",kə́kiə̂,kékwʉ̂,kwêkə́,kə́kɔ́i,kwékə́,kə́kûi,kə́kɔ́i
"Chairs ","no response",úkɔ́i,"no response",úkɔ́i,kwéwə́,úkûi,úkɔ́i
,,,,,,,
,,,,,,,
Person,ághə̂,aghʉ̂,wai,wʉ̌,ághə̌,wɔ̌,wʉ̌
"People ","no response",wʉ̀,áwai,ághʉ̂,wʉ̌,ə́ghʉ̌,ághə̂
,,,,,,,
,,,,,,,
"Father ",bàbə̀bɛ̂,bə̀kèbɛ̂,bə̀bâ,"No response",bǎ,bɛ̌,bə̀kə̀bái
"Fathers ","no response","no response","no response",,"No response","No response",bèkə́bî
,,,,,,,
,,,,,,,
"Mother ",nàbə̀bwɛ̂,nàndɛ̂,nì,"No response",nì,ně,nǐ
"Mothers ","no response","no response",nìsə̀,,"No response","No response",nə̀nǐ
,,,,,,,
"Child ",wái,wái,wai,"No response",fɨ́ně,wái,wái
"Children ",áwai,wáá,áwai,"No response",ńnîm,áwai,ǹtɨ̂
,,,,,,,
"Woman ",wùzə̌ŋ,wɔ̀zəŋ,wùzə̌ŋ,wìzə̀n,wèzə́ŋ,wùzə̌ŋ,ùzə̂ŋ
"Women ",ázê,zî,ázê,ághězə̂,ghězə̂ŋ,ázê,ázɛ̂
,,,,,,,
"Man ",wènǔ,wɔ̀nǔ,wʉ̀nû,wìnʉ̌,wènǔ,wʉ̀nû,wʉ̀nû
"Men ",ghə̌nʉ̂m,ńnǔ,ánû,ghə̀nû,ghə̌nʉ̂m,ə́nû,ánû
,,,,,,,
"Boy ",wànû,wàànú,wìnʉ̀m,wìnʉ̀m,něfɨ́nǔfə́,wànû,wáinû
"Boys ",ə́nû,wáá́nǔ,ghə̀nǔ,ghə̀nǔ,nênʉ̂m,ə́nû,wǎnǔ
,,,,,,,
"Girl ",wàizə́n,wàzə̀ŋ,wàzə̀ŋ,wàizə́n,ǹnêfɨzəŋfə̀,wǐzə̀ŋ,wáizə̀ŋ
