WORDLISTS,,MUNGBAM,,,,,
"Mortal ","no response","no response",kìgpúŋnɨ́mə́,tǔtû,ùtǔtû,mɔ́tà
mortals,"no response","no response","no response",ùtǔtû,bàtǔtû,bàmɔ́tà
"Compound ",ámápfʲa,útsúm,mfʲǎmə́,útsúŋ,útsúŋ,fáŋkǔnə̌
"Compounds ","no response",kítsúŋə́,"no response",kítsúŋə́kî,kítsúŋə́,bàfáŋkwúnə̀
"House ",úpwè,ə̀pwè,úpwě,úpwǐ,úpwè,úpkwé
"Houses ",kìpwêlə́,kìpwêlə́,kìpwêlə́,kìpwǐkǐ,kìpwêlə́,bíkpwé
"Door ",kíwákɛ́,fánpwè,kìfánə́kíwɔ́’ɔ́,kìfànkíwɔ́’ɔ́,ùfánə́wɔ́’ɔ́,fáníwɔ́’ɔ́
"Doors ","no response","no response",ikìfánə́kíwɔ́’ɔ́,kìfàkníwɔ́’ɔ́kǐ,ìfàníwɔ́’ɔ́,àfáníwɔ́’ɔ́
"Barn ",ásá’á,"no response",úsɔ́’ɔ̀wú,úsɔ́’ɔ̀,úsɔ́’ɔ̀,úsɔ́́ɔ́
"Barns ","no response","no response",kísɔ́’ɔ́lɔ̀,kísɔ́’ɔ́kî,kísɔ́’ɔ́lɔ̀,"ásɔ́ ɔ́"
"Ladder ",úkɔ́’ó,ɔ́kú,úkɨ̂nə́,úkɨ̂nə́,ùtsə́lə́,ùkwɨ́nə́
"Ladders ","àkɔ̀ ̀ò",ákú,úkɨ̂nə́kî,úkɨ̂nə́kî,àǹtsə́lə́,íkwɨ́nə́
"Mat ",útsìlə́,"no response",kìbɔ́ŋkífɛ́,útsílə́,útsílə́,fə̀tsə́lə́
"Mats ",tsìlə́wû,"no response","no response",útsílə́,útsílə́,ítsə́lə́
"Bed ",kìnàŋbì,kínàŋ,kìnàŋ,bìkúŋ,kímwǎ,kìnàŋ
"Beds ",bìnàŋbì,bìnàŋbì,bìnàŋbì,bìkúŋbî,bímwǎ,bìnàŋ
"Box ","no response","Same appellation as in English ‘box’",nkɔ̀lɔmə̌,"no response",ùbè,ùbè
"Boxes ","no response","Same appellation as in English ‘box’","no response","no response",bàbè,bàbè
Cloth,kìbúŋ,kìbúŋ,kìbúŋ,kìbúŋ,kìbúŋ,kìbúŋ
clothes,bìbúŋ,kìbúŋ,bìbúŋ,bìbúŋbî,bìbúŋ,bìbúŋ
"Wooden spoon",kìkámkî,"no response",kìkám,kíkɔ́’ɔ́,kìkám,kíkám
"Wooden spoons ",bìkámkí,"no response",bìkám,kíkɔ́’ɔ́,bìkám,bíkám
"Knife ",úshíwû,ìsə̀ŋ,ùshǐ,ùshǐ,ùshǐ,úshȋ
"Knifes ","no response",àsə̀ŋ,kíshîlə̂,ùshǐ,kíshîlə̂,áshȋ
Cutlass,kìdɛ́mə́kí,kìdɛ́,kìdɛ́,kìdɛ́,kìdɛ́,kìdɛ́
"Cutlasses ","no response",bìdɛ́,bìdɛ́,bə̀dɛ̂bə́,bìdɛ́,bìdɛ́
"Chair ",ŋkànə̀,kə̀gpə́ŋnə́,ŋkànə̀,ŋkànə̀,ŋkànə̀,ŋkànà
"Chairs ",bàŋkànə̀,"no response",bàŋkànə̀,bàŋkànə̀,bàŋkànə̀,bàŋkànà
Person,bə̀nʲàbɨ́,ùnǔ,ùnǔ,ùnǔ,ùnǔ,ùnǔ
"People ","no response",bə́nɛ̂,bə́nɛ̂,bə́nɛ̂,bə́nɛ̂,bə́nɛ̂
"Father ",tsʲǎ,tǐ,ìtǐ,"no response",bòbá,tǐ
"Fathers ",bə̀tsʲǎ,"no response","no response","no response",bàbòbá,bàtǐ
"Mother ",nʲâ,ní,ìnîmə̀,nʲâ,nʲâ,ní
"Mothers ",bàní,bàní,bàníme,bàní,bàní,bàní
"Child ","wǎù ",wɔ̌bàlə̌,wə̀bʲə̀ŋ,"wǎù ",wʉ̀,wá
"Children ",bàbʲàŋ,bàbʲàŋ,wɔ̀bʲə̀ŋbû,bàbʲàŋ,bàbʲàŋ,bàbʲàŋ
"Woman ",ùtsùlú,ùtsùlə́,tshə̀mə̌,ùtsùlə́,ùtsùlə́,ùtsùlə́
"Women ",bátsúlə́,bátsúlə́,"no response",bátsúlə́,bátsúlə́,bátsúlə́
"Man ",nùyúŋɔ̀ŋ,nùnyù’ú,nɔ̌mə̌,ùnǔ,ùnǔ,"nùnyú ́ú"
"Men ","no response","no response",bánɛ̂,bánɛ̂,bánɛ̂,"bànyú ́ú"
"Boy ",wɔ̀’ùnyúŋû,wɔ̀nyú’ù,wɔ̀mə̀,"no response",wɔ̀nyú’ù,"wànyú ́ú"
"Boys ","no response","no response","no response","no response",àbʲáŋbànyú’ú,"bə̀bʲáŋ bə́nyú ́ú"
"Girl ",wàwùtsùlə́,wùtsùlə́,wùtsùlə́mə̀,"no response",wùtsùlə́,wùtsùlə́
"Girls ",ábʲáŋbátsúlə́,bátsúlə́,"no response","no response",ábʲáŋbátsúlə́,bʲáŋbə́tsúlə́
"Thief ",nǔdzǐlə̌,nǔdzǐlə̌,nǔdzǐlə̌,"no response",nǔdzǐlə̌,ùdzìlə́
"Thieves ",bànǔdzǐlə̌,bànǔdzǐlə̌,bànǔdzǐlə̌,"no response",bànǔdzǐlə̌,bə́dzílə́
"Go ",tə̀dzá,tə̀dzá,tə̀dzâ,tə̀dzá,tə̀dzá,tsĕ
"Come ",tù,tù,tù,tù,tù,tù
"Sit ",nywàsá,nywàsɨ,nywɔ̀sá,nywàsá,nywɔ̀sɨ̂,nyàsá
"Stand ",nywàsɨ,bíyí,bìyí,bìyí,bí’í,bìyí
Carry,tɔ̀yí,tóyí,tɔ̀yí,tóyí,gàŋyî,tɔ̀
Dance,mùŋná,mùŋ,múŋnə́,mùŋnǎ,mùŋnǎ,mùŋ
"Run ",yɔ́’ɔ́ná,yɔ́lə́,yɔ́’ɔ́,yɔ́’ɔ́,yɔ́’ɔ́,ywə̀lə́
Sleep,gwɔ̀nsá,gwɔ̌n,gwɔ̌nsə́,gwɔ̌n,gwɔ̌n,gwə́n
Cook,dzǐná,dzǐ,dzìkwúnə́,dzǐ,dzǐ,dzǐ
